Country,Daily Tests,Daily Tests per 100000 people,Pop density per sq. km,Urban Population (%),Start Date of Quarantine/Lockdown,Start Date of Schools Closure,Start Date of Public Place Restrictions,Hospital Beds per 1000 people,M-to-F Gender Ratio at Birth,M-to-F Gender Ratio at Age Grp 0 to 14,M-to-F Gender Ratio at Age Grp 14 to 25,M-to-F Gender Ratio at Age Grp 25 to 54,M-to-F Gender Ratio at Age Grp 54 to 65,M-to-F Gender Ratio at Age Grp 65+,Overall M-to-F Gender Ratio,Death rate from lung diseases per 100k people,Death rate from lung diseases per 100k people for female,Death rate from lung diseases per 100k people for male,Median Age,GDP 2018,Crime Index,Population 2020 (in thousands),Smokers in Population (%),% of Females in Population,Total Infected,Total Deaths,Total Recovered
Norway,18062,33.31709474,15,83,,03/12/2020,03/12/2020,3.9,1.06,1.05,1.05,1.06,1.02,0.84,1.02,26.13,23.51,29.49,39.2,4.34167E+11,33.51,5421.241,20.2,49.52463113,8267,233,32
Oman,,,16,87,,,,1.6,1.05,1.05,1.1,1.38,1.14,0.99,1.19,10.87,9.06,12.54,25.6,79276723017,21.55,5106.626,11.1,34.01408352,5671,27,1574
Pakistan,531,0.02403886,287,35,,,,0.6,1.05,1.06,1.06,1.08,1.01,0.88,1.06,50.61,35.5,64.92,23.8,3.14588E+11,44.58,220892.34,20.1,48.53807472,43966,939,12489
Panama,756,1.752122421,58,68,,,,2.3,1.05,1.04,1.04,1.03,0.98,0.85,1.01,24.25,19.96,29.06,29.2,65055100000,45.47,4314.767,6.1,49.90538365,9867,281,6194
Peru,,,26,79,3/15/2020,,,1.6,1.05,1.04,1,0.92,0.94,0.9,0.97,17.69,14.94,20.96,28,2.22045E+11,64.58,32971.854,4.8,50.33775549,99483,2914,36524
Philippines,1030,0.09399433,368,47,,,,1,1.05,1.04,1.04,1.03,0.84,0.72,1.01,44.52,27.04,67.56,23.5,3.3091E+11,41.09,109581.078,24.3,49.74165739,12942,837,2843
Poland,7899,2.087108936,124,60,,03/11/2020,3/20/2020,6.5,1.06,1.06,1.05,1.02,0.9,0.64,0.94,16.16,9.98,25.9,40.7,5.85664E+11,29.67,37846.611,28,51.53070738,19268,948,7903
Portugal,,,111,66,,3/19/2020,3/19/2020,3.4,1.07,1.09,1.13,1.03,0.88,0.69,0.96,13.35,9.14,19.18,42.2,2.40675E+11,30.11,10196.709,22.7,52.71196171,29432,1247,6431
Qatar,,,248,96,,,,1.2,1.02,1.03,2.64,4.91,3.38,1.71,3.41,7.87,5.37,9.21,33.2,1.91362E+11,12,2881.053,20.6,24.49528738,35606,15,5634
Romania,3708,1.927466243,84,55,,,,6.3,1.06,1.06,1.05,1.02,0.88,0.68,0.95,18.8,10.65,30.05,41.1,2.39553E+11,27.84,19237.691,29.7,51.34374306,17191,1137,10166
Saudi Arabia,,,16,84,,,,2.7,1.05,1.05,1.15,1.31,1.21,1.05,1.19,12.41,9.55,15.56,27.5,7.86522E+11,28.22,34813.871,15.6,42.44584798,59854,329,31634
Serbia,,,100,56,,,,5.7,1.07,1.06,1.06,1.02,0.93,0.7,0.95,23.27,15.49,33.82,42.6,50597289147,37.63,8737.371,38.9,51.00252296,10733,234,4904
Singapore,,,8358,99,,,,2.4,1.07,1.05,0.97,0.95,1,0.83,0.96,8.32,3.17,14.81,34.6,3.64157E+11,27.7,5850.342,16.5,47.65812541,28794,22,10365
Slovenia,6712,32.28571511,103,55,,,,4.6,1.07,1.06,1.05,1.02,0.97,0.68,0.95,11.89,8.36,16.95,44.5,54007972106,22.01,2078.938,22.5,50.24520703,1467,104,1338
South Africa,645,0.108753034,49,67,,,,2.8,1.02,1.01,0.98,1.02,0.87,0.73,0.98,44.3,28.03,75.32,27.1,3.68289E+11,77.02,59308.69,20.3,50.69415038,17200,312,7960
Spain,,,94,80,3/15/2020,,,3,1.07,1.06,1.07,1.04,0.95,0.74,0.98,16.37,8.22,27.49,42.7,1.41904E+12,31.07,46754.778,29.3,50.89664131,232037,27778,0
Sri Lanka,,,341,18,,,,3.6,1.04,1.04,1.03,0.96,0.86,0.74,0.96,21.58,15.38,29.36,32.8,88900770858,40.15,21413.249,13,51.96681766,1027,9,569
Sweden,14300,14.15944626,25,88,,3/17/2020,03/11/2020,2.6,1.06,1.06,1.06,1.03,1.01,0.85,1,16.17,16.58,17.03,41.2,5.56086E+11,47.21,10099.265,18.8,49.94577617,30799,3743,4971
Switzerland,4000,4.621807862,219,74,,3/13/2020,3/16/2020,4.7,1.06,1.06,1.04,1.01,1,0.78,0.97,15.22,11.94,19.47,42.4,7.0514E+11,21.18,8654.622,25.7,50.42712466,30618,1891,27700
Tanzania,,,67,37,,,,0.7,1.03,1.02,1,1.01,0.78,0.75,0.99,18.09,14.24,22.47,17.7,58001200572,59.83,59734.218,14.8,50.05101091,509,21,183
Thailand,7084,1.014900033,137,51,,,,2.1,1.05,1.05,1.04,0.98,0.89,0.78,0.97,25.82,12.91,41.67,37.7,5.04993E+11,41.29,69799.978,19.9,51.26870461,3033,56,2857
Tunisia,,,76,70,,,,2.3,1.07,1.06,1.01,0.94,1.03,0.97,0.99,23.54,10.97,38.83,31.6,39871132268,40.64,11818.619,32.7,50.43715186,1044,47,826
Turkey,,,110,76,,3/16/2020,3/16/2020,2.7,1.05,1.05,1.04,1.03,0.99,0.8,1.01,35.63,21.2,55.26,30.9,7.7135E+11,39.86,84339.067,27.2,50.6778132,151615,4199,112895
United States,62657,1.892945564,36,83,,,,2.9,1.05,1.04,1.05,1,0.93,0.79,0.97,32.01,30.04,34.55,38.1,2.05443E+13,46.73,331002.651,21.8,50.52001465,1528568,91921,289392
Ukraine,500,0.114328148,75,69,,,,8.8,1.06,1.06,1.05,0.96,0.75,0.5,0.86,11.11,4.73,22.11,40.6,1.30832E+11,49.04,43733.762,28.9,53.6877507,18876,548,5632
United Arab Emirates,125000,126.385156,118,86,,,,1.2,1.05,1.05,1.47,3.2,2.93,1.69,2.18,18.37,12.55,20.21,30.3,4.14179E+11,15.52,9890.402,28.9,30.63668795,25063,227,10791
United Kingdom,50442,7.430396816,281,83,,3/20/2020,3/20/2020,2.8,1.05,1.05,1.04,1.04,0.98,0.81,0.99,23.66,21.11,26.84,40.5,2.8553E+12,43.64,67886.011,22.3,50.63527456,250138,35422,1099
Uruguay,,,20,96,,,,2.8,1.04,1.04,1.03,0.98,0.89,0.66,0.94,33.57,23.14,49.85,35,59596885024,52.33,3473.73,16.8,51.72154269,738,20,579
Vietnam,9696,0.996110699,314,38,,,,2.6,1.11,1.11,1.08,1.01,0.85,0.63,1,26.26,16.8,41.72,30.5,2.45214E+11,48.22,97338.579,22.8,50.09640962,324,0,263
